,Company,Placed,Average CTC (LPA)
0,Accenture AEH PPO,1,11.8
1,Aptiv,1,9.5
2,Bain Capability Networks,1,15.8
3,Bajaj Finserv,1,12
4,Bharati Airtel,1,14.75
5,Blackrock ,1,18
6,Cisco,2,24.7
7,Cisco PPO,1,24.7
8,Citi PPO,1,18
9,Cognizant NPN,3,4.5
10,Deloitte India,14,7.6
11,Deloitte USI,4,7.6
12,Fidelity PPO,1,13
13,Fractal Analytics ,1,7.5
14,Honeywell,10,9
15,JP Morgan Internship,1,19.75
16,KPMG,3,5.666666666666667
17,LSEG,1,12.5
18,Marvell PPO,5,27.16
19,Nutanix,1,19
20,Nxp Semiconductors,2,23
21,ProcDNA,1,11.74
22,Procyon TechSolution,3,6
23,Pwc ,4,9
24,Rystad Energy,1,10.9
25,Sandisk,1,17
26,Schneider Electric,6,12
27,Siemens EDA Internship,5,20.5
28,Siemens Energy,1,6
29,Toshiba,1,10.05
30,Uber,5,
31,Varroc,4,12.5
32,Verity ,1,7.5
33,Viseton,2,7
34,ZS Associates ,3,13.6
